ID,model,engine_power,age_in_days,km,previous_owners,lat,lon,price
270,lounge,51,3319,89179,2,45.610050201416,9.24234008789063,7500
271,pop,51,2192,53428,2,45.467960357666,9.1817798614502,6990
272,lounge,51,397,13980,2,45.4658012390137,8.88640975952148,9980
273,lounge,51,366,14816,2,38.1220703125,13.361120223999,11000
274,lounge,51,731,33070,2,41.1078796386719,14.2088098526001,10900
275,lounge,51,2374,102600,1,40.966178894043,17.1164798736572,6800
276,pop,51,1827,45000,1,41.9032211303711,12.4956502914429,8200
277,pop,66,3957,83000,1,41.9032211303711,12.4956502914429,5800
278,lounge,51,701,21000,1,44.7154083251953,11.3083000183105,10900
279,lounge,51,2892,70000,1,43.3327217102051,11.7193298339844,6900
280,pop,51,4322,120000,1,40.6723785400391,14.7282199859619,4900
281,lounge,51,425,15384,1,45.5125694274902,10.3290100097656,10850
282,pop,51,2131,40000,1,45.5320014953613,9.28153038024902,7300
283,pop,51,1217,58497,1,41.9032211303711,12.4956502914429,8900
284,pop,51,4230,156000,3,45.6748390197754,9.68785953521729,4250
285,lounge,51,1917,49000,3,45.3577690124512,9.61221027374268,7800
286,lounge,51,397,14877,3,45.4658012390137,8.88640975952148,9980
287,lounge,51,366,17642,3,38.1220703125,13.361120223999,11000
288,pop,51,1066,65415,3,41.1078796386719,14.2088098526001,7900
289,sport,62,3013,67000,1,40.966178894043,17.1164798736572,7500
290,lounge,51,2101,61400,1,41.9032211303711,12.4956502914429,7990
291,pop,51,1066,74000,1,41.8059196472168,13.0540199279785,8900
292,lounge,51,701,22000,1,44.7154083251953,11.3083000183105,10900
293,lounge,51,3105,119767,1,43.2538604736328,11.8161497116089,5800
294,lounge,51,701,10800,1,41.0259895324707,14.4644403457642,9850
295,lounge,51,397,18631,1,45.5125694274902,10.3290100097656,10850
296,lounge,51,4049,135000,1,41.9032211303711,12.4956502914429,5490
297,lounge,51,425,20900,1,45.538688659668,9.92831039428711,10500
298,lounge,51,456,15324,1,45.8127517700195,9.22414016723633,10500
299,lounge,51,397,19286,1,45.4658012390137,8.88640975952148,9980
300,lounge,51,670,32156,1,41.1078796386719,14.2088098526001,10900
301,lounge,51,1247,11000,1,45.0696792602539,7.70491981506348,9990
302,lounge,51,1066,66000,1,43.34375,11.9212102890015,9000
303,pop,51,3957,148700,1,41.1258697509766,16.8666591644287,4900
304,pop,51,2496,99510,1,44.5088386535645,11.4690799713135,6500
305,pop,51,701,37950,1,41.7700805664063,12.2271099090576,7950
306,lounge,51,456,12600,1,44.9044303894043,8.1999397277832,10200
307,lounge,51,397,21886,1,45.5125694274902,10.3290100097656,10850
308,pop,51,3896,60000,1,45.621410369873,12.453989982605,4900
309,lounge,51,2282,50400,1,44.9072418212891,8.61155986785889,7900
310,lounge,51,1035,69900,1,42.1438598632813,12.5401601791382,9750
311,lounge,51,3347,133000,1,41.299560546875,13.0325899124146,5400
312,lounge,51,397,15465,1,45.4658012390137,8.88640975952148,9980
313,pop,51,790,48461,1,41.1078796386719,14.2088098526001,8500
314,lounge,51,3957,136000,1,41.1520614624024,15.0830898284912,4990
315,lounge,74,4322,170000,1,45.5581207275391,9.21360969543457,4600
316,lounge,51,1096,37000,1,45.5501708984375,12.0718803405762,9300
317,lounge,51,366,15206,1,45.5125694274902,10.3290100097656,10850
318,lounge,51,4018,83000,1,45.8306884765625,12.0333404541016,5490
319,lounge,51,366,15000,1,44.2943000793457,9.67444038391113,10500
320,lounge,51,762,24700,1,42.1438598632813,12.5401601791382,9450
321,lounge,51,821,17600,1,44.7664184570313,8.70559978485107,10500
322,lounge,51,456,16043,1,45.4658012390137,8.88640975952148,9980
323,pop,51,366,5870,1,45.467960357666,9.1817798614502,10999
324,lounge,51,425,16783,1,41.9032211303711,12.4956502914429,9100
325,lounge,51,4474,108400,1,46.1764984130859,9.90367031097412,6200
326,lounge,51,3470,78000,1,40.9285011291504,14.2036695480347,6000
327,lounge,51,701,42290,1,45.022388458252,7.58601999282837,8400
328,lounge,51,790,37819,1,45.7072486877441,11.4776000976563,9700
329,lounge,51,397,17034,1,45.5125694274902,10.3290100097656,10950
330,lounge,51,3835,100000,1,45.4054718017578,10.2782897949219,5200
331,lounge,51,366,14000,1,44.2943000793457,9.67444038391113,10500
332,lounge,51,1155,40700,1,42.1438598632813,12.5401601791382,8750
333,pop,51,1521,37500,1,45.5320014953613,9.28153038024902,8290
334,lounge,51,456,26526,1,45.4658012390137,8.88640975952148,9980
335,lounge,51,425,12275,1,41.9032211303711,12.4956502914429,9100
336,lounge,51,701,37083,1,40.4653701782227,17.2505397796631,9000
337,lounge,51,2223,60000,1,45.3170585632324,8.85869979858398,7700
338,pop,51,2343,95000,1,45.3340797424316,11.3768701553345,7900
339,lounge,51,3684,71000,1,40.9285011291504,14.2036695480347,6000
340,lounge,51,1096,55851,1,41.9032211303711,12.4956502914429,7100
341,lounge,51,1247,22686,1,41.9032211303711,12.4956502914429,9390
342,lounge,51,425,20917,1,45.5125694274902,10.3290100097656,10850
343,lounge,51,3988,102932,2,45.6095314025879,10.2085695266724,5999
344,lounge,51,366,15000,2,44.2943000793457,9.67444038391113,10500
345,lounge,51,397,22775,2,45.4658012390137,8.88640975952148,9980
346,lounge,51,397,11997,2,45.467960357666,9.1817798614502,9999
347,lounge,51,762,29000,2,45.7646484375,8.99450016021729,10500
348,pop,51,1155,29000,2,43.7823715209961,11.2549896240234,10900
349,lounge,51,821,21877,2,46.1764984130859,9.90367031097412,10800
350,lounge,51,701,19934,2,45.1332588195801,7.63273000717163,8999
351,lounge,51,4108,138000,1,45.5501708984375,12.0718803405762,5200
352,lounge,51,456,11314,1,45.5581207275391,9.21360969543457,10900
353,lounge,51,425,17375,1,45.202278137207,10.792929649353,10950
354,pop,51,1066,52125,1,44.4117584228516,12.2040596008301,8900
355,lounge,51,366,18000,1,44.2943000793457,9.67444038391113,10500
356,lounge,51,2557,81247,1,45.2824211120606,9.93130016326904,7500
357,lounge,51,2739,90000,1,44.7985305786133,10.340220451355,6200
358,sport,51,3743,68833,1,44.9248809814453,7.33098983764648,5490
359,pop,51,3347,85500,1,45.467960357666,9.1817798614502,5699
360,lounge,51,790,35000,1,45.7646484375,8.99450016021729,10500
361,lounge,51,2313,80000,1,40.9285011291504,14.2036695480347,6990
362,lounge,51,762,36448,1,40.7522087097168,14.4534101486206,8579
363,sport,51,2009,125000,1,45.1930503845215,9.15130043029785,6350
364,pop,51,2769,72000,1,44.138370513916,12.2388200759888,7800
365,lounge,51,1521,46980,1,45.746021270752,9.04996967315674,8600
366,lounge,51,397,16523,1,45.202278137207,10.792929649353,10850
367,pop,51,2313,19500,1,44.5048217773438,11.3451795578003,7900
368,lounge,51,366,17000,1,44.2943000793457,9.67444038391113,10500
369,lounge,51,2251,87000,1,45.0696792602539,7.70491981506348,5990
370,lounge,51,578,32057,1,40.9952507019043,17.2191600799561,9600
371,pop,51,366,11203,1,45.0565986633301,9.70176029205322,9900
372,lounge,51,3562,128000,2,45.509449005127,9.08870029449463,4990
373,pop,51,2131,90000,1,41.9032211303711,12.4956502914429,6500
374,lounge,51,731,33665,1,40.7522087097168,14.4534101486206,9979
375,lounge,51,3804,78000,1,45.5961494445801,8.91580963134766,6600
376,lounge,51,701,13100,1,43.0675315856934,12.551549911499,10500
377,lounge,51,1096,64944,1,41.9032211303711,12.4956502914429,7100
378,pop,51,2616,122000,1,45.662281036377,9.63129997253418,5900
379,lounge,51,397,18877,1,45.202278137207,10.792929649353,10850
380,lounge,51,1521,55886,1,40.8588981628418,14.3571901321411,8500
381,lounge,51,366,19000,1,44.2943000793457,9.67444038391113,10500
382,pop,51,397,17500,1,42.104679107666,14.7059898376465,9800
383,lounge,51,790,17200,1,45.6425018310547,12.1636199951172,9800
384,lounge,51,578,32057,1,44.5048217773438,11.3451795578003,9600
385,lounge,51,1005,22376,1,41.9032211303711,12.4956502914429,10900
386,pop,77,2251,52000,2,45.509449005127,9.08870029449463,8500
387,pop,51,1858,75000,2,45.6412391662598,11.5561800003052,9999
388,lounge,51,731,33280,2,40.7522087097168,14.4534101486206,9980
389,lounge,51,701,23900,1,45.5044212341309,12.0360803604126,9800
390,pop,51,701,40000,1,45.7785911560059,8.94624996185303,8000
391,lounge,51,1096,57262,1,41.9032211303711,12.4956502914429,7100
392,lounge,51,762,12816,1,45.8127517700195,9.22414016723633,10300
393,lounge,51,397,15003,1,45.202278137207,10.792929649353,10850
394,lounge,51,2435,81631,1,45.8255615234375,12.2097902297974,7400
395,lounge,51,366,17000,1,44.2943000793457,9.67444038391113,10500
396,pop,51,366,18818,1,45.022388458252,7.58601999282837,8990
397,lounge,51,821,10800,1,45.6425018310547,12.1636199951172,9800
398,lounge,51,578,32057,1,43.7823715209961,11.2549896240234,9600
399,lounge,51,1035,69900,1,41.9032211303711,12.4956502914429,9750
400,lounge,51,3258,155000,1,43.3327217102051,11.7193298339844,6500
401,lounge,51,762,36448,1,41.8029899597168,12.5989303588867,8580
402,lounge,62,1917,36000,1,45.7005996704102,9.20841979980469,9900
403,pop,51,2162,117183,1,44.055419921875,12.5700397491455,6000
404,lounge,62,2282,69000,1,46.1687202453613,12.7074899673462,7800
405,lounge,51,456,14000,1,40.8401412963867,14.2522602081299,9499
406,lounge,51,1583,29064,1,45.5125694274902,10.3290100097656,9500
407,lounge,51,762,41783,1,43.7823715209961,11.2549896240234,9450
408,lounge,51,366,16000,1,44.2943000793457,9.67444038391113,10500
409,lounge,51,456,13900,1,44.0631294250488,12.4470100402832,10900
